"","Price","Fuel","Engine","Horsepower","Power_Nm","Acceleration","Consumption","CO2","Autonomy_klm","Taxation","Air_condition","Clima","Back_electric_windows","Heated_mirrors"
"189",72390," Diesel",2993,258,540,6.1,5.7,149,1228,276,"NO","YES","YES","YES"
"190",118490," Diesel",2993,381,740,4.7,6.3,165,1111,404,"NO","YES","YES","YES"
"191",98142," Gasoline",4395,407,500,5,10.4,243,673,741,"NO","YES","YES","YES"
"192",154148," Gasoline",4395,560,680,4.3,9.9,232,808,708,"NO","YES","YES","YES"
"193",108091," Gasoline",2979,306,400,6.3,8.9,209,787,637,"NO","YES","YES","YES"
"194",103904," Diesel",2993,245,540,6.9,6.5,173,1077,424,"NO","YES","YES","YES"
"195",113513," Diesel",2993,300,600,6.1,6.7,175,1045,429,"NO","YES","YES","YES"
"196",136591," Gasoline",4395,407,600,5.5,11.2,263,625,978,"NO","YES","YES","YES"
"197",242907," Gasoline",4999,507,520,4.6,14.8,357,473,1328,"NO","YES","YES","YES"
"198",132124," Gasoline",2979,326,450,5.9,9.9,232,828,708,"NO","YES","YES","YES"
"199",125350," Diesel",2993,245,540,7.2,6.8,178,1176,436,"NO","YES","YES","YES"
"200",15173," Diesel",1560,75,185,17.1,5.7,113,1053,111,"YES","NO","NO","YES"
"201",16350," Diesel",1560,75,185,17.1,5.7,113,1053,111,"YES","NO","NO","YES"
"202",17067," Diesel",1560,100,215,14.3,5.7,113,1053,111,"YES","NO","NO","YES"
"203",10371," Gasoline",998,69,95,13,4.1,95,854,86,"YES","NO","NO","NO"
"204",10614," Gasoline",998,69,95,13,4.1,95,854,86,"YES","NO","NO","NO"
"205",10627," Gasoline",998,69,95,13,3.8,88,921,0,"YES","NO","NO","NO"
"206",10869," Gasoline",998,69,95,13,3.8,88,921,0,"YES","NO","NO","YES"
"207",10889," Gasoline",998,69,95,13,4.1,95,854,86,"YES","NO","NO","NO"
"208",11956," Gasoline",998,69,95,13,3.8,88,921,0,"NO","YES","NO","YES"
"209",11155," Gasoline",1199,82,116,10.9,4.3,99,814,89,"YES","NO","NO","YES"
"210",12114," Gasoline",1199,82,116,10.9,4.3,99,814,89,"NO","YES","NO","YES"
"211",13500," Gasoline",1199,82,118,13.2,4.2,97,1071,87,"YES","NO","NO","NO"
"212",14300," Gasoline",1199,82,118,13.2,4.2,97,1071,87,"NO","YES","YES","YES"
"213",14900," Gasoline",1199,82,118,13.2,4.2,97,1071,87,"NO","YES","YES","YES"
"214",15400," Gasoline",1199,110,205,9.4,4.4,100,1023,90,"NO","YES","YES","YES"
"215",16000," Gasoline",1199,110,205,9.4,4.4,100,1023,90,"NO","YES","YES","YES"
"216",17500," Gasoline",1199,110,205,9.4,4.4,100,1023,90,"NO","YES","YES","YES"
"217",15800," Diesel",1560,99,250,10.2,3.2,86,1312,0,"YES","NO","YES","NO"
"218",16400," Diesel",1560,99,250,10.2,3.2,86,1312,0,"NO","YES","YES","YES"
"219",17000," Diesel",1560,99,250,10.2,3.2,86,1312,0,"NO","YES","YES","YES"
"220",15300," Gasoline",1199,82,118,14,4.1,116,1098,114,"YES","NO","NO","NO"
"221",16000," Gasoline",1199,82,118,14,4.1,116,1098,114,"YES","NO","YES","YES"
"222",17480," Gasoline",1199,110,205,10.2,5,115,900,113,"YES","NO","YES","YES"
"223",18940," Gasoline",1199,131,230,9.3,5.3,119,849,117,"YES","NO","YES","YES"
"224",19400," Gasoline",1199,110,205,10.2,5,115,900,113,"NO","YES","YES","YES"
"225",20400," Gasoline",1199,131,230,9.3,5.3,119,849,117,"NO","YES","YES","YES"
"226",18490," Diesel",1560,99,254,11.5,4,104,1125,102,"YES","NO","NO","NO"
"227",19050," Diesel",1560,99,254,11.5,4,104,1125,102,"YES","NO","YES","YES"
"228",19750," Diesel",1560,120,300,9.8,4.1,107,1098,105,"YES","NO","YES","YES"
"229",20450," Diesel",1560,99,254,11.5,4,104,1125,102,"NO","YES","YES","YES"
"230",21150," Diesel",1560,120,300,9.8,4.1,107,1098,105,"NO","YES","YES","YES"
"231",14500," Gasoline",1199,82,118,12.9,4.6,107,1087,105,"YES","NO","YES","YES"
"232",15550," Gasoline",1199,82,118,12.9,4.6,107,1087,105,"NO","YES","YES","YES"
"233",16120," Gasoline",1199,82,118,12.9,4.6,107,1087,105,"NO","YES","YES","YES"
"234",16840," Gasoline",1199,110,205,9.3,4.7,107,1064,105,"YES","NO","YES","YES"
"235",17250," Gasoline",1199,110,205,9.3,4.7,107,1064,105,"NO","YES","YES","YES"
"236",19650," Gasoline",1199,131,230,9.1,4.8,110,1042,108,"NO","YES","YES","YES"
"237",19840," Gasoline",1199,110,205,9.3,4.7,107,1064,105,"NO","YES","YES","YES"
"238",22000," Gasoline",1199,131,230,9.1,4.8,110,1042,108,"NO","YES","YES","YES"
"241",20350," Diesel",1499,100,250,11.1,4,97,1125,87,"NO","YES","YES","YES"
"243",22550," Gasoline",1199,131,230,10.5,5.2,119,1019,117,"NO","YES","YES","YES"
"245",27000," Gasoline",1199,131,230,10.5,5.2,119,1019,117,"NO","YES","YES","YES"
"246",31050," Gasoline",1199,131,230,10.5,5.2,119,1019,117,"NO","YES","YES","YES"
"247",25000," Diesel",1499,131,300,10.4,4.1,106,1293,104,"NO","YES","YES","YES"
"248",26700," Diesel",1499,131,300,10.4,4.1,106,1293,104,"NO","YES","YES","YES"
"249",29750," Diesel",1499,131,300,10.4,4.1,106,1293,104,"NO","YES","YES","YES"
"250",29850," Diesel",1499,131,300,10.6,4,106,1325,104,"NO","YES","YES","YES"
"251",32150," Diesel",1499,131,300,10.6,4,106,1325,104,"NO","YES","YES","YES"
"252",32600," Diesel",1499,131,300,10.4,4.1,106,1293,104,"NO","YES","YES","YES"
"253",35000," Diesel",1499,131,300,10.6,4,106,1325,104,"NO","YES","YES","YES"
"254",30800," Gasoline",1598,181,250,8.2,5.7,129,930,155,"NO","YES","YES","YES"
"255",33100," Gasoline",1598,181,250,8.2,5.7,129,930,155,"NO","YES","YES","YES"
"256",35950," Gasoline",1598,181,250,8.2,5.7,129,930,155,"NO","YES","YES","YES"
"257",36750," Diesel",1997,178,400,8.6,4.7,124,1128,149,"NO","YES","YES","YES"
"258",42500," Diesel",1997,178,400,8.6,4.7,124,1128,149,"NO","YES","YES","YES"
"259",12194," Gasoline",1199,72,110,14.2,5.2,110,962,108,"YES","NO","YES","YES"
"260",14397," Diesel",1560,92,230,11.2,4.1,98,1220,88,"YES","NO","YES","YES"
"261",13580," Gasoline",999,100,160,12.5,6.1,138,820,166,"YES","NO","NO","NO"
"262",14180," LPG",999,100,160,12.5,4.5,128,1111,154,"YES","NO","NO","NO"
"263",15050," Gasoline",999,100,160,12.5,6.1,138,820,166,"YES","NO","YES","YES"
"264",15650," LPG",999,100,160,12.5,4.5,128,1111,154,"YES","NO","YES","YES"
"265",15850," Gasoline",999,100,160,12.5,6.1,138,820,166,"NO","YES","YES","YES"
"266",16450," LPG",999,100,160,12.5,4.5,128,1111,154,"NO","YES","YES","YES"
"267",16300," Gasoline",1333,130,240,11.1,6,138,833,166,"YES","NO","YES","YES"
