"","Price","Fuel","Engine","Horsepower","Power_Nm","Acceleration","Consumption","CO2","Autonomy_klm","Taxation","Air_condition","Clima","Back_electric_windows","Heated_mirrors"
"174",51070," Diesel",1995,150,320,8.6,4.2,110,1357,108,"NO","YES","NO","YES"
"175",54560," Diesel",1995,190,400,7.3,4.8,119,1188,117,"NO","YES","NO","YES"
"176",46876," Gasoline",1997,184,270,7.3,6.1,144,934,266,"NO","YES","NO","YES"
"177",120294," Gasoline",2979,431,550,4.3,8.8,204,682,622,"NO","YES","NO","YES"
"178",71546," Diesel",2993,258,560,5.5,4.9,129,1163,155,"NO","YES","NO","YES"
"179",69593," Diesel",1995,184,380,8.2,5.1,133,1118,160,"NO","YES","NO","YES"
"180",59556," Gasoline",1592,170,250,8.7,6.9,161,1014,394,"NO","YES","YES","YES"
"181",55103," Diesel",1995,143,360,9.7,4.5,119,1556,117,"NO","YES","YES","YES"
"182",58573," Diesel",1995,184,380,8.1,4.8,125,1458,150,"NO","YES","YES","YES"
"183",67988," Diesel",1995,218,450,7,5,132,1400,158,"NO","YES","YES","YES"
"184",58035," Gasoline",1997,184,270,7.9,6.8,157,1029,290,"NO","YES","YES","YES"
"185",66073," Gasoline",1997,245,350,6.2,6.6,159,1061,294,"NO","YES","YES","YES"
"186",71186," Gasoline",1997,245,350,6.5,7,162,1000,397,"NO","YES","YES","YES"
"187",78521," Gasoline",2979,340,450,5.9,6.4,149,1047,276,"NO","YES","YES","YES"
"188",80407," Gasoline",2979,306,400,5.8,8.1,188,864,523,"NO","YES","YES","YES"
